n,pmid,identifier,entity,matched_span,authority_name,verdict,sentence
13,37085802,3569,IL-6,il-6,,TP,"Proinflammatory cytokines (IL-1, IL-6, IL-8, and TNF-α), activated by COVID-19 are known to drive tumorigenesis via NFkΒ and KRAS pathways [37, 38]."
14,30850633,MESH:D006046,Au,gold,Gold,TP,"After dehydration in a series of increasing ethanol concentrations, samples were transferred for critical drying (Leica) and subsequently sputter-coated with gold (Leica), before imaging with a scanning electron microscope (JEOL 6701)."
15,26180580,MESH:D018805,sepsis,sepsis,Sepsis,TP,"Inflammation In addition to acute inflammation as seen in sepsis, many other more chronic diseases including diabetes and cancer have a very important inflammatory component."
16,38185806,MESH:D041881,acute cholecystitis,acute cholecystitis,"Cholecystitis, Acute",TP,"Iatrogenesis, atherosclerotic changes in the cystic arteries, acute cholecystitis or cholelithiasis, malignancy, trauma, hemophilia, pseudoaneurysm, and the use of oral anticoagulant medications are reported as the causes of gall bladder hemorrhage [4, 5]."
17,36803368,11060,WWP2,wwp2,,TP,Chen Z Thomas SN Bolduc DM Jiang X Zhang X Wolberger C Cole PA Enzymatic analysis of PTEN ubiquitylation by WWP2 and NEDD4-1 E3 ligases Biochemistry 2016 55 3658 3666 10.1021/acs.biochem.6b00448 27295432 44.
18,31382189,MESH:D008527,medulloblastoma,medulloblastoma,Medulloblastoma,TP,Lu et al.14 indicated that MEKK2/MEKK3 correlates negatively with the Hh signaling pathway in medulloblastoma.
19,24874575,3572,gp130,il6st,,TP,"Similarly, PADI4 binding was localized to the same region of the IL6ST promoter (Fig."
20,34539408,MESH:C031327,artemisinin,artemisinin,artemisinin,TP,Artemisinin Derivatives Inactivate Cancer-Associated Fibroblasts through Suppressing TGF-β Signaling in Breast Cancer.
21,33573293,4193,MDM2,mdm2,,TP,"Additionally, p53, p21, and MDM2 bind to Slug and promote its ubiquitin-mediated proteasomal degradation [12,13]."
22,38082430,MESH:D029424,chronic obstructive pulmonary disease,chronic obstructive pulmonary disease,"Pulmonary Disease, Chronic Obstructive",TP,Powell HA Iyen-Omofoman B Baldwin DR Hubbard RB Tata LJ Chronic Obstructive pulmonary disease and risk of lung cancer: the importance of smoking and timing of diagnosis J Thorac Oncol 2013 8 1 6 11 10.1097/JTO.0b013e318274a7dc 23196277 12.
23,29875994,MESH:D019772,topotecan,topotecan,Topotecan,TP,topotecan (spearman: 0.3491871 p=4.875323e-15); (E) ATP6V0E1 vs.
24,36214632,MESH:D011136,Tween 20,tween,Polysorbates,TP,"Slides were washed in PBS+tween 0.1% (PBST), fixed in formaldehyde 3.7% for 30 minutes, and washed again in PBST."
25,35069196,MESH:D007938,leukemia,leukemia,Leukemia,TP,"In search of less toxic treatment for it, several reports over the past years have confirmed positive effects of piperine against leukemia."
26,31681841,MESH:D009369,tumor,tumors,Neoplasms,TP,"We also generated a tumor model showing that “personalized nano-Ag@erythrosomes” could be achieved by fusing RBCs and surgically removed tumors, which effectively reduced tumor recurrence and metastasis after surgery."
27,37388918,4360,CD206,mrc1,,TP,"As expected, the lineage markers CD4, CD8, and CD56 were most abundant in the respective immune cell types, and the macrophage marker MRC1 was highest in liver and tumor macrophages (Figure 2E)."
28,33101043,29126,PD-L1,pd-l1,,TP,HIP1R targets PD-L1 to lysosomal degradation to alter T cell-mediated cytotoxicity .
29,40740860,MESH:D007249,inflammatory,inflammation,Inflammation,TP,"EMT is associated with metastasis, while fibrosis is associated with both EMT and inflammation."
30,27069641,MESH:D006851,HCl,hydrochloric acid,Hydrochloric Acid,TP,"Specifically, 100 μl of potassium permanganate (KMnO4) were added to 90 ml of Harris haematoxylin stain, 20 μl of hydrochloric acid (HCl) were added to 60 ml of OG6 stain and 100 μl of acetic acid (C2H4O2) were added to 60 ml of EA50 eosin prior to staining the slides."
