# MeSH descriptors under E01.370.350.
# Source: NLM MeSH SPARQL endpoint, https://id.nlm.nih.gov/mesh/sparql (inference on).
# Regenerate: python scripts/atlas_ingest_sensitivity.py --refresh-trees
# descriptors: 192
D000069416	Intravital Microscopy
D018608	Ultrasonography, Doppler
D018613	Microscopy, Confocal
D018615	Ultrasonography, Doppler, Color
D018616	Ultrasonography, Doppler, Duplex
D018617	Ultrasonography, Doppler, Pulsed
D018618	Echocardiography, Doppler, Color
D018619	Echocardiography, Doppler, Pulsed
D018625	Microscopy, Atomic Force
D018715	Microscopy, Video
D018810	Magnetic Resonance Angiography
D019028	Magnetic Resonance Imaging, Cine
D019160	Endosonography
D019252	Radiography, Dental, Digital
D019265	Spectroscopy, Near-Infrared
D019560	Echocardiography, Three-Dimensional
D019561	Echocardiography, Four-Dimensional
D019841	Defecography
D020285	Cryoelectron Microscopy
D020527	Microscopy, Scanning Probe
D020678	Microscopic Angioscopy
D021621	Imaging, Three-Dimensional
D023861	Photography, Dental
D023881	Colonography, Computed Tomographic
D025401	Echocardiography, Stress
D033401	Microscopy, Acoustic
D036542	Tomography, Spiral Computed
D036641	Microscopy, Fluorescence, Multiphoton
D038524	Diffusion Magnetic Resonance Imaging
D041622	Tomography, Optical
D041623	Tomography, Optical Coherence
D046032	Microscopy, Energy-Filtering Transmission Electron
D046169	Dermoscopy
D046529	Microscopy, Electron, Transmission
D047569	Laser Scanning Cytometry
D048208	Nuchal Translucency Measurement
D049268	Positron-Emission Tomography
D049448	Cholangiopancreatography, Magnetic Resonance
D049489	Stroboscopy
D051598	Whole Body Imaging
D054459	Elasticity Imaging Techniques
D054791	Cervical Length Measurement
D054881	Sex Determination by Skeleton
D054893	Cone-Beam Computed Tomography
D054894	Spiral Cone-Beam Computed Tomography
D055032	Electron Microscope Tomography
D055069	Terahertz Imaging
D055114	X-Ray Microtomography
D055414	Myocardial Perfusion Imaging
D055420	Perfusion Imaging
D055424	Cardiac-Gated Imaging Techniques
D055425	Respiratory-Gated Imaging Techniques
D055426	Cardiac-Gated Single-Photon Emission Computer-Assisted Tomography
D056324	Diffusion Tensor Imaging
D056969	Voltage-Sensitive Dye Imaging
D056973	Four-Dimensional Computed Tomography
D057054	Molecular Imaging
D057791	Cardiac Imaging Techniques
D058948	Cell Tracking
D059008	Time-Lapse Imaging
D059168	Carotid Intima-Media Thickness
D059869	Radiostereometric Analysis
D059906	Neuroimaging
D059907	Functional Neuroimaging
D061305	Lymphoscintigraphy
D061330	Multidetector Computed Tomography
D061765	Endoscopic Ultrasound-Guided Fine Needle Aspiration
D061848	Optical Imaging
D062048	Narrow Band Imaging
D062345	Nuclear Microscopy
D063132	Connectome
D064347	Microscopy, Electrochemical, Scanning
D064847	Multimodal Imaging
D066235	Fluorine-19 Magnetic Resonance Imaging
