# MeSH tree C04 (Neoplasms) topical descriptors -- the ATLAS cancer definition.
# Source: NLM MeSH SPARQL endpoint, https://id.nlm.nih.gov/mesh/sparql (inference on).
# Regenerate: python scripts/atlas_baseline.py --refresh-mesh
# descriptors: 704
D000008	Abdominal Neoplasms
D010178	Pancoast Syndrome
D010181	Pancreatic Cyst
D010190	Pancreatic Neoplasms
D010192	Pancreatic Pseudocyst
D010212	Papilloma
D010235	Paraganglioma
D010236	Paraganglioma, Extra-Adrenal
D010255	Paranasal Sinus Neoplasms
D010257	Paraneoplastic Syndromes
D010282	Parathyroid Neoplasms
D010307	Parotid Neoplasms
D010310	Parovarian Cyst
D010386	Pelvic Neoplasms
D010412	Penile Neoplasms
D010509	Periodontal Cyst
D010524	Peripheral Nervous System Neoplasms
D010534	Peritoneal Neoplasms
D010580	Peutz-Jeghers Syndrome
D010610	Pharyngeal Neoplasms
D010673	Pheochromocytoma
D010864	Pilonidal Sinus
D010871	Pinealoma
D010911	Pituitary Neoplasms
D010954	Plasmacytoma
D010997	Pleural Neoplasms
D011085	Polycystic Ovary Syndrome
D011087	Polycythemia Vera
D011125	Adenomatous Polyposis Coli
D011151	Popliteal Cyst
D011230	Precancerous Conditions
D011252	Pregnancy Complications, Neoplastic
D011289	Preleukemia
D011471	Prostatic Neoplasms
D011553	Pseudomyxoma Peritonei
D011648	Pulmonary Adenomatosis, Ovine
D011842	Radicular Cyst
D011900	Ranula
D012004	Rectal Neoplasms
D012142	Respiratory Tract Neoplasms
D012175	Retinoblastoma
D012186	Retroperitoneal Neoplasms
D012207	Rhabdomyoma
D012208	Rhabdomyosarcoma
D012468	Salivary Gland Neoplasms
D012509	Sarcoma
D012510	Sarcoma 180
D012511	Sarcoma 37
D012512	Sarcoma, Ewing
D012513	Sarcoma, Experimental
D012514	Sarcoma, Kaposi
D012515	Mast-Cell Sarcoma
D012516	Osteosarcoma
D012517	Sarcoma, Yoshida
D012626	Sebaceous Gland Neoplasms
D012707	Sertoli Cell Tumor
D012751	Sezary Syndrome
D012811	Sigmoid Neoplasms
D012878	Skin Neoplasms
D012888	Skull Neoplasms
D012983	Soft Tissue Neoplasms
D013005	Somatostatinoma
D013120	Spinal Cord Neoplasms
D013125	Spinal Neoplasms
D013160	Splenic Neoplasms
D013274	Stomach Neoplasms
D013330	Struma Ovarii
D013341	Sturge-Weber Syndrome
D013362	Sublingual Gland Neoplasms
D013365	Submandibular Gland Neoplasms
D013544	Sweat Gland Neoplasms
D013581	Synovial Cyst
D013584	Sarcoma, Synovial
D013586	Synovitis, Pigmented Villonodular
D013724	Teratoma
D013736	Testicular Neoplasms
D013798	Thecoma
D013899	Thoracic Neoplasms
D013945	Thymoma
D013953	Thymus Neoplasms
D013955	Thyroglossal Cyst
D013964	Thyroid Neoplasms
D014062	Tongue Neoplasms
D014067	Tonsillar Neoplasms
D014134	Tracheal Neoplasms
D014328	Trophoblastic Neoplasms
D014402	Tuberous Sclerosis
D014496	Urachal Cyst
D014516	Ureteral Neoplasms
D014523	Urethral Neoplasms
D014565	Urogenital Neoplasms
D014571	Urologic Neoplasms
D014582	Urticaria Pigmentosa
D014594	Uterine Neoplasms
D014604	Uveal Neoplasms
D014625	Vaginal Neoplasms
D014685	Venereal Tumors, Veterinary
D014846	Vulvar Neoplasms
D014983	Xeroderma Pigmentosum
D015043	Zollinger-Ellison Syndrome
D015173	Supratentorial Neoplasms
D015174	Epidural Neoplasms
D015175	Prolactinoma
D015179	Colorectal Neoplasms
D015192	Infratentorial Neoplasms
D015266	Carcinoma, Merkel Cell
D015408	Gastrinoma
D015448	Leukemia, B-Cell
D015451	Leukemia, Lymphocytic, Chronic, B-Cell
D015452	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
D015456	Leukemia, Biphenotypic, Acute
D015458	Leukemia, T-Cell
D015459	Leukemia-Lymphoma, Adult T-Cell
D015461	Leukemia, Prolymphocytic, T-Cell
D015463	Leukemia, Prolymphocytic
D015464	Leukemia, Myelogenous, Chronic, BCR-ABL Positive
D015465	Leukemia, Myeloid, Accelerated Phase
D015466	Leukemia, Myeloid, Chronic-Phase
D015470	Leukemia, Myeloid, Acute
D015471	Leukemia, Basophilic, Acute
D015472	Leukemia, Eosinophilic, Acute
D015473	Leukemia, Promyelocytic, Acute
D015477	Leukemia, Myelomonocytic, Chronic
D015479	Leukemia, Myelomonocytic, Acute
D015529	Choledochal Cyst
D015620	Histiocytic Disorders, Malignant
D015624	Lambert-Eaton Myasthenic Syndrome
D015674	Mammary Neoplasms, Animal
D015811	Iris Neoplasms
D015831	Osteochondroma
D016066	Pleural Effusion, Malignant
D016080	Arachnoid Cysts
D016393	Lymphoma, B-Cell
D016399	Lymphoma, T-Cell
D016400	Lymphoma, Large-Cell, Immunoblastic
D016403	Lymphoma, Large B-Cell, Diffuse
D016410	Lymphoma, T-Cell, Cutaneous
D016411	Lymphoma, T-Cell, Peripheral
D016483	Lymphoma, AIDS-Related
D016518	Neurofibromatosis 2
D016543	Central Nervous System Neoplasms
D016545	Choroid Plexus Neoplasms
D016582	Leukemia, Feline
D016583	Enzootic Bovine Leukosis
D016586	Granular Cell Tumor
D016606	Thyroid Nodule
D016609	Neoplasms, Second Primary
D016715	Proteus Syndrome
D016864	Li-Fraumeni Syndrome
D016889	Endometrial Neoplasms
D017043	Chalazion
D017169	Neoplasms, Post-Traumatic
D017253	Neurofibromatoses
D017254	Leukemic Infiltration
D017599	Neuroectodermal Tumors
D017600	Neuroectodermal Tumor, Melanotic
D017624	WAGR Syndrome
D017728	Lymphoma, Large-Cell, Anaplastic
D017731	Lymphomatoid Papulosis
D017733	Leukoplakia, Hairy
D017824	Bone Cysts, Aneurysmal
D018190	Neoplasm, Lymphatic Tissue
D018191	Lymphangioma, Cystic
D018192	Lymphangioleiomyomatosis
D018193	Neoplasms, Complex and Mixed
D018194	Adenomyoma
D018195	Adenosarcoma
D018196	Carcinoma, Adenosquamous
D018197	Hepatoblastoma
D018198	Mixed Tumor, Malignant
D018199	Mixed Tumor, Mesodermal
D018200	Mixed Tumor, Mullerian
D018201	Nephroma, Mesoblastic
D018202	Pulmonary Blastoma
D018203	Sarcoma, Endometrial Stromal
D018204	Neoplasms, Connective and Soft Tissue
D018205	Neoplasms, Adipose Tissue
D018206	Angiolipoma
D018207	Angiomyolipoma
D018208	Liposarcoma, Myxoid
D018209	Myelolipoma
D018210	Chondromatosis
D018211	Chondrosarcoma, Mesenchymal
D018212	Giant Cell Tumor of Bone
D018213	Neoplasms, Bone Tissue
D018214	Fibroma, Ossifying
D018215	Osteoblastoma
D018216	Osteochondromatosis
D018217	Osteosarcoma, Juxtacortical
D018218	Neoplasms, Fibrous Tissue
D018219	Histiocytoma, Benign Fibrous
D018220	Fibroma, Desmoplastic
D018221	Fibromatosis, Abdominal
D018222	Desmoid Tumors
D018223	Dermatofibrosarcoma
D018224	Myofibromatosis
D018225	Neoplasms, Fibroepithelial
D018226	Fibroadenoma
D018227	Sarcoma, Clear Cell
D018228	Sarcoma, Small Cell
D018229	Angiomyoma
D018230	Leiomyoma, Epithelioid
D018231	Leiomyomatosis
D018232	Rhabdomyosarcoma, Alveolar
D018233	Rhabdomyosarcoma, Embryonal
D018234	Sarcoma, Alveolar Soft Part
D018235	Smooth Muscle Tumor
D018236	Carcinoma, Embryonal
D018237	Germinoma
D018238	Gonadoblastoma
D018239	Seminoma
D018240	Endodermal Sinus Tumor
D018241	Neuroectodermal Tumors, Primitive, Peripheral
D018242	Neuroectodermal Tumors, Primitive
D018243	Teratocarcinoma
D018245	Trophoblastic Tumor, Placental Site
D018246	Adrenocortical Adenoma
D018248	Adenoma, Liver Cell
D018249	Adenoma, Oxyphilic
D018250	Acrospiroma
D018251	Hidrocystoma
D018252	Syringoma
D018253	Adenoma, Villous
D018254	Adenomatoid Tumor
D018255	Adenomatosis, Pulmonary
D018256	Adenomatous Polyps
D018261	Mesothelioma, Cystic
D018262	Adenocarcinoma, Clear Cell
D018263	Adenocarcinoma, Follicular
D018265	Carcinoma, Papillary, Follicular
D018266	Adenocarcinoma, Sebaceous
D018267	Carcinoma, Acinar Cell
D018268	Adrenocortical Carcinoma
D018269	Carcinoma, Endometrioid
D018270	Carcinoma, Ductal, Breast
D018273	Carcinoma, Islet Cell
D018275	Carcinoma, Lobular
D018276	Carcinoma, Medullary
D018277	Carcinoma, Mucoepidermoid
D018278	Carcinoma, Neuroendocrine
D018279	Carcinoma, Signet Ring Cell
D018280	Carcinoma, Skin Appendage
D018281	Cholangiocarcinoma
D018282	Cystadenocarcinoma, Mucinous
D018283	Cystadenocarcinoma, Papillary
D018284	Cystadenocarcinoma, Serous
D018285	Klatskin Tumor
D018286	Carcinoma, Giant Cell
D018287	Carcinoma, Large Cell
D018288	Carcinoma, Small Cell
D018289	Carcinoma, Verrucous
D018290	[OBSOLETE] Cervical Intraepithelial Neoplasia
D018291	Cystadenoma, Mucinous
D018292	Cystadenoma, Papillary
D018293	Cystadenoma, Serous
D018294	Neoplasms, Adnexal and Skin Appendage
D018295	Neoplasms, Basal Cell
D018296	Pilomatrixoma
D018297	Neoplasms, Cystic, Mucinous, and Serous
D018298	Mucoepidermoid Tumor
D018299	Neoplasms, Ductal, Lobular, and Medullary
D018300	Papilloma, Intraductal
D018301	Neoplasms, Mesothelial
D018302	Neoplasms, Neuroepithelial
D018303	Ganglioglioma
D018304	Esthesioneuroblastoma, Olfactory
D018305	Ganglioneuroblastoma
D018306	Neurocytoma
D018307	Neoplasms, Squamous Cell
D018308	Papilloma, Inverted
D018309	Neoplasms, Gonadal Tissue
D018310	Sertoli-Leydig Cell Tumor
D018311	Luteoma
D018312	Sex Cord-Gonadal Stromal Tumors
D018315	Glioma, Subependymal
D018316	Gliosarcoma
D018317	Nerve Sheath Neoplasms
D018318	Neurofibroma, Plexiform
D018319	Neurofibrosarcoma
D018321	Neurothekeoma
D018322	Angiofibroma
D018323	Hemangioendothelioma, Epithelioid
D018324	Hemangioma, Capillary
D018325	Hemangioblastoma
D018326	Nevi and Melanomas
D018327	Hutchinson's Melanotic Freckle
D018328	Melanoma, Amelanotic
D018329	Nevus, Blue
D018330	Nevus, Intradermal
D018331	Nevus, Spindle Cell
D018332	Nevus, Epithelioid and Spindle Cell
D018333	Odontogenic Cyst, Calcifying
D018335	Rhabdoid Tumor
D018358	Neuroendocrine Tumors
D018365	Neoplasm, Residual
D018442	Lymphoma, B-Cell, Marginal Zone
D018567	Breast Neoplasms, Male
D018761	Multiple Endocrine Neoplasia Type 1
D018813	Multiple Endocrine Neoplasia Type 2a
D018814	Multiple Endocrine Neoplasia Type 2b
D018827	Carcinoma, Lewis Lung
D019042	Muscle Neoplasms
D019043	Vascular Neoplasms
D019046	Bone Marrow Neoplasms
D019048	Prostatic Intraepithelial Neoplasia
D019292	Skull Base Neoplasms
D019337	Hematologic Neoplasms
D019572	Retinal Neoplasms
D019574	Optic Nerve Neoplasms
D020288	Papilloma, Choroid Plexus
D020295	Brain Stem Neoplasms
D020339	Optic Nerve Glioma
D020361	Paraneoplastic Syndromes, Nervous System
D020362	Paraneoplastic Cerebellar Degeneration
D020363	Limbic Encephalitis
D020364	Paraneoplastic Polyneuropathy
D020522	Lymphoma, Mantle-Cell
D020786	Hemangioma, Cavernous, Central Nervous System
D020787	Central Nervous System Venous Angioma
D020863	Central Nervous System Cysts
D021441	Carcinoma, Pancreatic Ductal
D023981	Sarcoma, Myeloid
D030321	Denys-Drash Syndrome
D031901	Gestational Trophoblastic Disease
D031954	Choriocarcinoma, Non-gestational
D034701	Mastocytosis, Cutaneous
D034721	Mastocytosis, Systemic
D034801	Mastocytoma
D036821	Endometrial Stromal Tumors
D043604	Glomus Tympanicum Tumor
D044584	Carcinoma, Ductal
D045888	Ganglion Cysts
D046152	Gastrointestinal Stromal Tumors
D047688	Breast Cyst
D047708	Myofibroma
D047868	Pulmonary Sclerosing Hemangioma
D049309	Acanthoma
D049328	Mongolian Spot
D049912	Growth Hormone-Secreting Pituitary Adenoma
D049913	ACTH-Secreting Pituitary Adenoma
D050398	Adamantinoma
D051527	Odontogenic Tumor, Squamous
D051642	Histiocytoma
D051677	Histiocytoma, Malignant Fibrous
D052958	Tarlov Cysts
D053578	Opsoclonus-Myoclonus Syndrome
D054000	Nevus, Sebaceous of Jadassohn
D054066	Leukemia, Large Granular Lymphocytic
D054198	Precursor Cell Lymphoblastic Leukemia-Lymphoma
D054218	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
D054219	Neoplasms, Plasma Cell
D054363	Solitary Fibrous Tumor, Pleural
D054364	Solitary Fibrous Tumors
D054391	Lymphoma, Extranodal NK-T-Cell
D054403	Leukemia, Prolymphocytic, B-Cell
D054429	Leukemia, Myelomonocytic, Juvenile
D054438	Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative
D054446	Lymphoma, Primary Cutaneous Anaplastic Large Cell
D054685	Lymphoma, Primary Effusion
D054705	Mastocytoma, Skin
D054739	Dendritic Cell Sarcoma, Interdigitating
D054740	Dendritic Cell Sarcoma, Follicular
D054747	Histiocytic Sarcoma
D054752	Langerhans Cell Sarcoma
D054973	Perivascular Epithelioid Cell Neoplasms
D054975	Pallister-Hall Syndrome
D055331	Adenomyoepithelioma
D055613	Multiple Pulmonary Nodules
D055623	Keratosis, Actinic
D055653	Muir-Torre Syndrome
D055752	Small Cell Lung Carcinoma
D055756	Meningeal Carcinomatosis
D055847	Lynch Syndrome II
D055882	Nevus, Halo
D056267	Pagetoid Reticulosis
D056364	Colloid Cysts
D056733	Carney Complex
D057090	Eccrine Porocarcinoma
D057091	Poroma
D058249	Birt-Hogg-Dube Syndrome
D058288	Sister Mary Joseph's Nodule
D058405	Desmoplastic Small Round Cell Tumor
D058527	Enteropathy-Associated T-Cell Lymphoma
D058617	Composite Lymphoma
D058739	Aberrant Crypt Foci
D058922	Inflammatory Breast Neoplasms
D059545	Paraneoplastic Syndromes, Ocular
D059885	Kasabach-Merritt Syndrome
D060426	Anti-N-Methyl-D-Aspartate Receptor Encephalitis
D061206	Neoplasm Micrometastasis
D061325	Hereditary Breast and Ovarian Cancer Syndrome
D062625	Cystadenofibroma
D062688	Buschke-Lowenstein Tumor
D062689	Lipoblastoma
D063646	Carcinogenesis
D064090	Intraocular Lymphoma
D064129	Prostatic Neoplasms, Castration-Resistant
D064726	Triple Negative Breast Neoplasms
D065309	Atypical Squamous Cells of the Cervix
D065310	Squamous Intraepithelial Lesions of the Cervix
D065311	Adenocarcinoma in Situ
D065646	Thyroid Carcinoma, Anaplastic
