pmid,title,year,journal,missing_kind,is_oa,oa_status,pmcid,oa_url,path
19513516,Trichostatin A with adenovirus-mediated p53 gene transfer synergistically induces apoptosis in breast cancer cell line MDA-MB-231.,2009,Oncology reports,open access,True,bronze,,https://www.spandidos-publications.com/10.3892/or_00000417/download,corpus/by-pmid/19513516.md
19763571,A multi-center phase II study of docetaxel plus cisplatin as first-line therapy in patients with metastatic squamous cell esophageal cancer.,2010,Cancer chemotherapy and pharmacology,open access,True,green,,http://kumel.medlib.dsmc.or.kr/handle/2015.oak/35286,corpus/by-pmid/19763571.md
19787240,Enhancement of DNA cancer vaccine efficacy by combination with anti-angiogenesis in regression of established subcutaneous B16 melanoma.,2009,Oncology reports,open access,True,bronze,,https://www.spandidos-publications.com/10.3892/or_00000555/download,corpus/by-pmid/19787240.md
19934563,Efficacy of pulsed electromagnetic field therapy in healing of pressure ulcers: A randomized control trial.,2009,Neurology India,open access,True,green,,http://www.bioline.org.br/pdf?ni09174,corpus/by-pmid/19934563.md
20502900,Dichloroacetate metabolically targeted therapy defeats cytotoxicity of standard anticancer drugs.,2011,Cancer chemotherapy and pharmacology,open access,True,green,,https://hal.science/hal-00595954,corpus/by-pmid/20502900.md
20560725,Nonthermal irreversible electroporation for intracranial surgical applications. Laboratory investigation.,2011,Journal of neurosurgery,open access,True,bronze,,https://thejns.org/downloadpdf/journals/j-neurosurg/114/3/article-p681.pdf,corpus/by-pmid/20560725.md
20564114,High-intensity focused ultrasound in the treatment of bone tumors: another treatment option for palliation and primary treatment?,2010,Cancer,open access,True,bronze,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cncr.25193,corpus/by-pmid/20564114.md
20582416,Combinatorial effects of thymoquinone on the anti-cancer activity of doxorubicin.,2011,Cancer chemotherapy and pharmacology,open access,True,green,,https://hal.science/hal-00603538,corpus/by-pmid/20582416.md
20702493,Ultrasound-induced cell death of nasopharyngeal carcinoma cells in the presence of curcumin.,2011,Integrative cancer therapies,open access,True,gold,,https://doi.org/10.1177/1534735410377197,corpus/by-pmid/20702493.md
20707653,The potential role of dynamic MRI in assessing the effectiveness of high-intensity focused ultrasound ablation of breast cancer.,2010,"International journal of hyperthermia : the official journal of European Society for Hyperthermic Oncology, North American Hyperthermia Group",open access,True,bronze,,https://www.tandfonline.com/doi/pdf/10.3109/02656736.2010.481275?download=true,corpus/by-pmid/20707653.md
20883113,"High intensity focused ultrasound (HIFU) for prostate cancer: current clinical status, outcomes and future perspectives.",2010,"International journal of hyperthermia : the official journal of European Society for Hyperthermic Oncology, North American Hyperthermia Group",open access,True,bronze,,https://www.tandfonline.com/doi/pdf/10.3109/02656736.2010.498803?needAccess=true,corpus/by-pmid/20883113.md
20969641,Editorial Comment to Transurethral resection of the prostate immediately after high-intensity focused ultrasound treatment for prostate cancer.,2010,International journal of urology : official journal of the Japanese Urological Association,open access,True,bronze,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1442-2042.2010.02656.x,corpus/by-pmid/20969641.md
21042719,E phage gene transfection enhances sensitivity of lung and colon cancer cells to chemotherapeutic agents.,2010,International journal of oncology,open access,True,bronze,,https://www.spandidos-publications.com/10.3892/ijo_00000803/download,corpus/by-pmid/21042719.md
21048307,Tanshinone IIA induces mitochondria dependent apoptosis in prostate cancer cells in association with an inhibition of phosphoinositide 3-kinase/AKT pathway.,2010,Biological & pharmaceutical bulletin,open access,True,bronze,,https://www.jstage.jst.go.jp/article/bpb/33/11/33_11_1828/_pdf,corpus/by-pmid/21048307.md
21059621,Bojungikki-tang for cancer-related fatigue: a pilot randomized clinical trial.,2010,Integrative cancer therapies,open access,True,gold,,https://journals.sagepub.com/doi/pdf/10.1177/1534735410383170,corpus/by-pmid/21059621.md
21219135,Analgesic effect of high intensity focused ultrasound therapy for unresectable pancreatic cancer.,2011,"International journal of hyperthermia : the official journal of European Society for Hyperthermic Oncology, North American Hyperthermia Group",open access,True,bronze,,https://www.tandfonline.com/doi/pdf/10.3109/02656736.2010.525588?download=true,corpus/by-pmid/21219135.md
21358073,High intensity focused ultrasound ablation: a new therapeutic option for solid tumors.,2010,Journal of cancer research and therapeutics,open access,True,diamond,,https://doi.org/10.4103/0973-1482.77064,corpus/by-pmid/21358073.md
21441722,Biological effects of electromagnetic fields and recently updated safety guidelines for strong static magnetic fields.,2011,Magnetic resonance in medical sciences : MRMS : an official journal of Japan Society of Magnetic Resonance in Medicine,open access,True,diamond,,https://www.jstage.jst.go.jp/article/mrms/10/1/10_1_1/_pdf,corpus/by-pmid/21441722.md
21549092,Combined effect of sodium selenite and docetaxel on PC3 metastatic prostate cancer cell line.,2011,Biochemical and biophysical research communications,open access,True,bronze,,https://www.sciencedirect.com/science/article/pii/S0006291X11007078,corpus/by-pmid/21549092.md
21603311,High intensity focused ultrasound in clinical tumor ablation.,2011,World journal of clinical oncology,open access,True,hybrid,PMC3095464,https://www.wjgnet.com/2218-4333/full/v2/i1/8.htm,corpus/by-pmid/21603311.md
21642861,Histone deacetylase inhibitors sensitize human non-small cell lung cancer cells to ionizing radiation through acetyl p53-mediated c-myc down-regulation.,2011,Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,open access,True,bronze,,http://www.jto.org/article/S1556086415310583/pdf,corpus/by-pmid/21642861.md
21656761,High-intensity focused ultrasound (HIFU) is not indicated for treatment of primary bone sarcomas.,2011,Cancer,open access,True,bronze,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cncr.25881,corpus/by-pmid/21656761.md
21667032,Effective targeted chemotherapy using AEZS-108 (AN-152) for LHRH receptor-positive pancreatic cancers.,2011,Oncology reports,open access,True,bronze,,https://www.spandidos-publications.com/10.3892/or.2011.1340/download,corpus/by-pmid/21667032.md
21728392,The improvement of irreversible electroporation therapy using saline-irrigated electrodes: a theoretical study.,2011,Technology in cancer research & treatment,open access,True,bronze,,https://journals.sagepub.com/doi/pdf/10.7785/tcrt.2012.500212,corpus/by-pmid/21728392.md
21804211,Deltonin isolated from Dioscorea zingiberensis inhibits cancer cell growth through inducing mitochondrial apoptosis and suppressing Akt and mitogen activated protein kinase signals.,2011,Biological & pharmaceutical bulletin,open access,True,bronze,,https://www.jstage.jst.go.jp/article/bpb/34/8/34_8_1231/_pdf,corpus/by-pmid/21804211.md
22429348,"Growth inhibition of malignant melanoma by intermediate frequency alternating electric fields, and the underlying mechanisms.",2012,The Journal of international medical research,open access,True,gold,,https://journals.sagepub.com/doi/pdf/10.1177/147323001204000109,corpus/by-pmid/22429348.md
22487909,Complete high-intensity focused ultrasound in prostate cancer: outcome from the @-Registry.,2012,Prostate cancer and prostatic diseases,open access,True,green,,https://www.openaccessrepository.it/record/146542,corpus/by-pmid/22487909.md
22522456,STEAP proteins: from structure to applications in cancer therapy.,2012,Molecular cancer research : MCR,open access,True,bronze,,https://mcr.aacrjournals.org/content/molcanres/10/5/573.full.pdf,corpus/by-pmid/22522456.md
22661268,A toy model of fractal glioma development under RF electric field treatment.,2012,"The European physical journal. E, Soft matter",open access,True,green,,https://arxiv.org/pdf/1203.2450,corpus/by-pmid/22661268.md
22684608,Norcantharidin triggers cell death and DNA damage through S-phase arrest and ROS-modulated apoptotic pathways in TSGH 8301 human urinary bladder carcinoma cells.,2012,International journal of oncology,open access,True,bronze,,http://www.spandidos-publications.com/10.3892/ijo.2012.1511/download,corpus/by-pmid/22684608.md
22684834,Salvage radiotherapy after high intensity focused ultrasound for prostate cancer.,2012,BMJ case reports,open access,True,bronze,PMC4542959,https://casereports.bmj.com/content/casereports/2012/bcr.03.2012.6127.full.pdf,corpus/by-pmid/22684834.md
22797110,High-intensity focused ultrasound and cryotherapy as salvage treatment in local radio-recurrent prostate cancer.,2012,Urologia internationalis,open access,True,bronze,,https://www.karger.com/Article/Pdf/339616,corpus/by-pmid/22797110.md
22811583,HDAC inhibitors augmented cell migration and metastasis through induction of PKCs leading to identification of low toxicity modalities for combination cancer therapy.,2012,Clinical cancer research : an official journal of the American Association for Cancer Research,open access,True,bronze,,https://clincancerres.aacrjournals.org/content/clincanres/18/17/4691.full.pdf,corpus/by-pmid/22811583.md
22884198,"High-intensity focused ultrasound: principles, therapy guidance, simulations and applications.",2012,Zeitschrift fur medizinische Physik,open access,True,hybrid,,https://doi.org/10.1016/j.zemedi.2012.07.001,corpus/by-pmid/22884198.md
22989087,High-intensity focused ultrasound in prostate cancer: today's outcomes and tomorrow's perspectives.,2013,Scandinavian journal of urology,open access,True,diamond,,https://doi.org/10.3109/00365599.2012.721393,corpus/by-pmid/22989087.md
23093252,The potential of circulating tumor cells as a liquid biopsy to guide therapy in prostate cancer.,2012,Cancer discovery,open access,True,bronze,,https://aacrjournals.org/cancerdiscovery/article-pdf/2/11/974/1813592/974.pdf,corpus/by-pmid/23093252.md
23144340,"Conservative treatment of a recto-urethral fistula due to salvage HIFU for local recurrence of prostate cancer, 5 years after radical prostatectomy and external beam radiotherapy.",2012,BMJ case reports,open access,True,bronze,PMC3624664,https://casereports.bmj.com/content/casereports/2012/bcr.03.2012.6115.full.pdf,corpus/by-pmid/23144340.md
23174784,Anthropometry and lipid profile in women with breast cancer: a case-control study.,2012,Revista do Colegio Brasileiro de Cirurgioes,open access,True,gold,,https://www.scielo.br/j/rcbc/a/jyR3gBrMb9nsYZMgfzz6yhc/?lang=pt&format=pdf,corpus/by-pmid/23174784.md
23193058,Targeting the tumor microenvironment for cancer therapy.,2013,Clinical chemistry,open access,True,bronze,,http://clinchem.aaccjnls.org/content/clinchem/59/1/85.full.pdf,corpus/by-pmid/23193058.md
23199931,A three-dimensional in vitro tumor platform for modeling therapeutic irreversible electroporation.,2012,Biophysical journal,open access,True,bronze,PMC3491727,http://www.cell.com/article/S0006349512010326/pdf,corpus/by-pmid/23199931.md
23233719,Randomized phase III placebo-controlled trial of letrozole plus oral temsirolimus as first-line endocrine therapy in postmenopausal women with locally advanced or metastatic breast cancer.,2013,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,open access,True,bronze,PMC3532391,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.2011.38.3331?role=tab,corpus/by-pmid/23233719.md
23354363,"Xiao Jin Wan, a traditional Chinese herbal formula, inhibits proliferation via arresting cell cycle progression at the G2/M phase and promoting apoptosis via activating the mitochondrial‑dependent pathway in U-2OS human osteosarcoma cells.",2013,International journal of oncology,open access,True,bronze,,http://www.spandidos-publications.com/10.3892/ijo.2013.1795/download,corpus/by-pmid/23354363.md
23406907,Comparison of transrectal prostate biopsy results with histology of transurethral resection of the prostate in men undergoing high-intensity focused ultrasound.,2013,Urologia internationalis,open access,True,bronze,,https://www.karger.com/Article/Pdf/346320,corpus/by-pmid/23406907.md
23464460,Vitexicarpin induces apoptosis in human prostate carcinoma PC-3 cells through G2/M phase arrest.,2012,Asian Pacific journal of cancer prevention : APJCP,open access,True,gold,,https://doi.org/10.7314/apjcp.2012.13.12.6369,corpus/by-pmid/23464460.md
23628808,Prostate cancer: prostatic swelling and shift upon HIFU.,2013,Nature reviews. Urology,open access,True,bronze,,https://www.nature.com/articles/nrurol.2013.98.pdf,corpus/by-pmid/23628808.md
23629727,"Antitumor activity of pimasertib, a selective MEK 1/2 inhibitor, in combination with PI3K/mTOR inhibitors or with multi-targeted kinase inhibitors in pimasertib-resistant human lung and colorectal cancer cells.",2013,International journal of cancer,open access,True,bronze,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijc.28236,corpus/by-pmid/23629727.md
23708127,Methylene blue-mediated photodynamic therapy enhances apoptosis in lung cancer cells.,2013,Oncology reports,open access,True,bronze,,http://www.spandidos-publications.com/or/30/2/856/download,corpus/by-pmid/23708127.md
23792568,Off-label use of cetuximab plus sorafenib and panitumumab plus regorafenib to personalize therapy for a patient with V600E BRAF-mutant metastatic colon cancer.,2013,Cancer biology & therapy,open access,True,hybrid,PMC3841209,https://www.tandfonline.com/doi/pdf/10.4161/cbt.25191?needAccess=true,corpus/by-pmid/23792568.md
23792576,Homologous recombination-based adenovirus vector system for tumor cell-specific gene delivery.,2013,Cancer biology & therapy,open access,True,bronze,PMC3841212,https://www.tandfonline.com/doi/pdf/10.4161/cbt.25090?needAccess=true,corpus/by-pmid/23792576.md
23824972,Lovastatin-induced apoptosis is mediated by activating transcription factor 3 and enhanced in combination with salubrinal.,2014,International journal of cancer,open access,True,bronze,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijc.28369,corpus/by-pmid/23824972.md
24019549,End points and trial design in geriatric oncology research: a joint European organisation for research and treatment of cancer--Alliance for Clinical Trials in Oncology--International Society Of Geriatric Oncology position article.,2013,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,open access,True,bronze,,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.2013.49.6125?role=tab,corpus/by-pmid/24019549.md
24102396,Advances of high intensity focused ultrasound (HIFU) for pancreatic cancer.,2013,"International journal of hyperthermia : the official journal of European Society for Hyperthermic Oncology, North American Hyperthermia Group",open access,True,bronze,,https://www.tandfonline.com/doi/pdf/10.3109/02656736.2013.837199?needAccess=true&role=button,corpus/by-pmid/24102396.md
24122337,Pancreatic metastasectomy: the Memorial Sloan-Kettering experience and a review of the literature.,2014,Journal of surgical oncology,open access,True,bronze,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jso.23460,corpus/by-pmid/24122337.md
24154945,Amide proton transfer imaging of high intensity focused ultrasound-treated tumor tissue.,2014,Magnetic resonance in medicine,open access,True,bronze,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mrm.25000,corpus/by-pmid/24154945.md
24225203,Mitochondrial targeting of α-tocopheryl succinate enhances its anti-mesothelioma efficacy.,2014,Redox report : communications in free radical research,open access,True,bronze,PMC6837448,https://www.tandfonline.com/doi/pdf/10.1179/1351000213Y.0000000064?needAccess=true,corpus/by-pmid/24225203.md
24243568,The combinational effect of vincristine and berberine on growth inhibition and apoptosis induction in hepatoma cells.,2014,Journal of cellular biochemistry,open access,True,bronze,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jcb.24715,corpus/by-pmid/24243568.md
24345078,New insights into pharmacological tools to TR(i)P cancer up.,2014,British journal of pharmacology,open access,True,bronze,PMC4009001,https://bpspubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/bph.12561,corpus/by-pmid/24345078.md
24377565,Cytotoxic and apoptotic-inducing effects of purple rice extracts and chemotherapeutic drugs on human cancer cell lines.,2014,Asian Pacific journal of cancer prevention : APJCP,open access,True,gold,,http://society.kisti.re.kr/sv/SV_svpsbs03V.do?method=download&cn1=JAKO201305981338620,corpus/by-pmid/24377565.md
24377602,"Influence of 17β-estradiol on 15-deoxy-δ12,14 prostaglandin J2 -induced apoptosis in MCF-7 and MDA-MB-231 cells.",2013,Asian Pacific journal of cancer prevention : APJCP,open access,True,gold,,http://society.kisti.re.kr/sv/SV_svpsbs03V.do?method=download&cn1=JAKO201305981338723,corpus/by-pmid/24377602.md
24378474,Intratumoral expression of mature human neutrophil peptide-1 potentiates the therapeutic effect of doxorubicin in a mouse 4T1 breast cancer model.,2014,Oncology reports,open access,True,bronze,,http://www.spandidos-publications.com/or/31/3/1287/download,corpus/by-pmid/24378474.md
24412820,Irreversible electroporation: evolution of a laboratory technique in interventional oncology.,2014,"Diagnostic and interventional radiology (Ankara, Turkey)",open access,True,green,PMC4463294,https://doaj.org/article/3b2f0184f43e469090177f5fd142093f,corpus/by-pmid/24412820.md
24419115,Neoadjuvant chemotherapy without routine use of radiation therapy for patients with locally advanced rectal cancer: a pilot trial.,2014,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,open access,True,bronze,PMC5795691,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.2013.51.7904?role=tab,corpus/by-pmid/24419115.md
24505785,A novel high intensity focused ultrasound robotic system for breast cancer treatment.,2013,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,open access,True,bronze,,https://link.springer.com/content/pdf/10.1007%2F978-3-642-40760-4_49.pdf,corpus/by-pmid/24505785.md
24535016,PI3K inhibitor LY294002 inhibits activation of the Akt/mTOR pathway induced by an oncolytic adenovirus expressing TRAIL and sensitizes multiple myeloma cells to the oncolytic virus.,2014,Oncology reports,open access,True,bronze,,http://www.spandidos-publications.com/or/31/4/1581/download,corpus/by-pmid/24535016.md
24605025,Management of borderline and locally advanced pancreatic cancer: where do we stand?,2014,World journal of gastroenterology,open access,True,bronze,PMC3942831,https://www.wjgnet.com/1007-9327/full/v20/i9/2255.htm,corpus/by-pmid/24605025.md
24605026,Systematic review of novel ablative methods in locally advanced pancreatic cancer.,2014,World journal of gastroenterology,open access,True,hybrid,PMC3942832,https://www.wjgnet.com/1007-9327/full/v20/i9/2267.htm,corpus/by-pmid/24605026.md
24636331,Image-guided ablation in breast cancer treatment.,2014,Techniques in vascular and interventional radiology,open access,True,bronze,,http://www.techvir.com/article/S1089251613000942/pdf,corpus/by-pmid/24636331.md
24753285,T1 ρ mapping for the evaluation of high intensity focused ultrasound tumor treatment.,2015,Magnetic resonance in medicine,open access,True,green,,https://cris.maastrichtuniversity.nl/en/publications/36c3f7ad-0503-4061-af75-b22e3c984c77,corpus/by-pmid/24753285.md
24794308,"Characterization and management of dermatologic adverse events with the NovoTTF-100A System, a novel anti-mitotic electric field device for the treatment of recurrent glioblastoma.",2014,Seminars in oncology,open access,True,hybrid,,https://doi.org/10.1053/j.seminoncol.2014.03.011,corpus/by-pmid/24794308.md
24796928,Transforming growth factor-β induced Warburg-like metabolic reprogramming may underpin the development of peritoneal endometriosis.,2014,The Journal of clinical endocrinology and metabolism,open access,True,hybrid,PMC4207934,https://academic.oup.com/jcem/article-pdf/99/9/3450/9050757/jcem3450.pdf,corpus/by-pmid/24796928.md
24819705,"HS-104, a PI3K inhibitor, enhances the anticancer efficacy of gemcitabine in pancreatic cancer.",2014,International journal of oncology,open access,True,bronze,,http://www.spandidos-publications.com/ijo/45/1/311/download,corpus/by-pmid/24819705.md
