# Regenerate: python scripts/retag_gold_set.py  (#346 MeSH evidence fallback).
# predicted_baseline = tagger with FERRO_MESH_EXPANSION off (the committed baseline);
# predicted_mesh = with the MeSH fallback on. gold_evidence_level is the manual label.
pmid,sample_mechanism,predicted_baseline,predicted_mesh,gold_evidence_level
30071778,electrochemical-therapy,clinical-other,clinical-other,preclinical-invivo
30986263,electrochemical-therapy,clinical-other,clinical-other,clinical-other
31581445,electrochemical-therapy,preclinical-invivo,preclinical-invivo,preclinical-invivo
33114476,electrochemical-therapy,preclinical-invivo,preclinical-invivo,preclinical-invivo
33396317,electrochemical-therapy,preclinical-invitro,preclinical-invitro,preclinical-invitro
33882773,electrochemical-therapy,preclinical-invivo,preclinical-invivo,preclinical-invivo
39557959,electrochemical-therapy,preclinical-invitro,preclinical-invitro,preclinical-invitro
41554743,electrochemical-therapy,preclinical-invitro,preclinical-invitro,preclinical-invitro
21878233,electrochemical-therapy,,preclinical-invivo,preclinical-invitro
31780711,electrochemical-therapy,,,theoretical
31956003,electrochemical-therapy,,preclinical-invivo,preclinical-invivo
32167722,electrochemical-therapy,,,none-applicable
33093457,electrochemical-therapy,,,clinical-other
33763295,electrochemical-therapy,,,preclinical-invivo
34110490,electrochemical-therapy,,,none-applicable
36671876,electrochemical-therapy,,,preclinical-invitro
37846332,electrochemical-therapy,,,none-applicable
39610376,electrochemical-therapy,,,clinical-other
26010837,ttfields,preclinical-invitro,preclinical-invitro,preclinical-invitro
27339426,ttfields,preclinical-invivo,preclinical-invivo,preclinical-invivo
28358361,ttfields,preclinical-invitro,preclinical-invitro,preclinical-invitro
28849310,ttfields,phase3-clinical,phase3-clinical,phase3-clinical
29261637,ttfields,clinical-other,clinical-other,clinical-other
29284495,ttfields,phase3-clinical,phase3-clinical,preclinical-invitro
30506499,ttfields,phase3-clinical,phase3-clinical,phase3-clinical
32666048,ttfields,phase3-clinical,phase3-clinical,none-applicable
36358594,ttfields,preclinical-invivo,preclinical-invivo,preclinical-invitro
37213481,ttfields,theoretical,theoretical,theoretical
25620708,ttfields,,,clinical-other
29471879,ttfields,,,theoretical
35426370,ttfields,,,none-applicable
35821680,ttfields,,,clinical-other
36483066,ttfields,,,theoretical
36741707,ttfields,,,none-applicable
37335714,ttfields,,clinical-other,none-applicable
40067514,ttfields,,clinical-other,clinical-other
40175974,ttfields,,,theoretical
40404987,ttfields,,clinical-other,clinical-other
30889466,synthetic-lethality,preclinical-invitro,preclinical-invitro,preclinical-invitro
35715861,synthetic-lethality,preclinical-invivo,preclinical-invivo,preclinical-invivo
36865165,synthetic-lethality,preclinical-invivo,preclinical-invivo,preclinical-invivo
38036782,synthetic-lethality,phase1-clinical,phase1-clinical,preclinical-invitro
38043609,synthetic-lethality,preclinical-invivo,preclinical-invivo,theoretical
38330461,synthetic-lethality,clinical-other,clinical-other,clinical-other
38630886,synthetic-lethality,preclinical-invivo,preclinical-invivo,preclinical-invivo
39305483,synthetic-lethality,preclinical-invitro,preclinical-invitro,theoretical
40038300,synthetic-lethality,preclinical-invivo,preclinical-invivo,preclinical-invivo
40308947,synthetic-lethality,preclinical-invitro,preclinical-invitro,preclinical-invitro
30101194,synthetic-lethality,,preclinical-invitro,preclinical-invitro
33167404,synthetic-lethality,,preclinical-invivo,preclinical-invitro
34469736,synthetic-lethality,,preclinical-invitro,theoretical
35921524,synthetic-lethality,,,preclinical-invitro
36180906,synthetic-lethality,,,preclinical-invitro
37105990,synthetic-lethality,,,preclinical-invitro
38509368,synthetic-lethality,,,preclinical-invitro
40033056,synthetic-lethality,,,theoretical
40091075,synthetic-lethality,,,preclinical-invitro
41112293,synthetic-lethality,,,theoretical
