pmid,title,year,journal,missing_kind,is_oa,oa_status,pmcid,oa_url,path
10671777,Current status of minimally invasive treatment options for localized prostate carcinoma.,2000,European urology,paywalled,False,closed,,,corpus/by-pmid/10671777.md
10696635,Altered tissue electric properties in lung cancer patients as detected by bioelectric impedance vector analysis.,2000,"Nutrition (Burbank, Los Angeles County, Calif.)",paywalled,False,closed,,,corpus/by-pmid/10696635.md
10749325,Saturated saline enhances the effect of electrochemical therapy.,2000,Digestive diseases and sciences,paywalled,False,closed,,,corpus/by-pmid/10749325.md
10789592,Interferon-alpha and 13-cis-retinoic acid as maintenance therapy after high-dose combination chemotherapy with growth factor support for small cell lung cancer--a feasibility study.,2000,Anti-cancer drugs,paywalled,False,closed,,,corpus/by-pmid/10789592.md
10803669,Results of electrochemical therapy of colorectal liver metastases in rats followed up by MRI.,2000,Investigative radiology,paywalled,False,closed,,,corpus/by-pmid/10803669.md
1087606,Effects of vinblastine on bioelectric properties of the frog skin epithelium in vitro.,1976,European journal of cancer,paywalled,False,closed,,,corpus/by-pmid/1087606.md
11022735,[High intensity focused ultrasound for localized prostate cancer].,2000,Nihon rinsho. Japanese journal of clinical medicine,paywalled,False,unknown,,,corpus/by-pmid/11022735.md
11052501,Pulsed electromagnetic field stimulation of MG63 osteoblast-like cells affects differentiation and local factor production.,2000,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,paywalled,False,closed,,,corpus/by-pmid/11052501.md
1107167,Cancer-related aspects of regeneration research: a review.,1975,Growth,paywalled,False,unknown,,,corpus/by-pmid/1107167.md
11103804,Viral fusogenic membrane glycoprotein expression causes syncytia formation with bioenergetic cell death: implications for gene therapy.,2000,Cancer research,paywalled,False,unknown,,,corpus/by-pmid/11103804.md
11116525,Damage induction by direct electric current in tumoural target cells.,2000,Indian journal of experimental biology,paywalled,False,unknown,,,corpus/by-pmid/11116525.md
11124559,Electrolytic ablation of colorectal liver metastases: 1-year histological patient follow-up.,2000,Digestive surgery,paywalled,False,closed,,,corpus/by-pmid/11124559.md
11208360,Antitumor effect of electrochemical therapy on transplantable mouse cancers.,2000,Medical science monitor : international medical journal of experimental and clinical research,paywalled,False,unknown,,,corpus/by-pmid/11208360.md
11269009,Electrochemical therapy--comparison with other local treatment methods on rat model.,2001,Hepato-gastroenterology,paywalled,False,unknown,,,corpus/by-pmid/11269009.md
11369525,Radiofrequency tumor ablation: principles and techniques.,2001,European journal of ultrasound : official journal of the European Federation of Societies for Ultrasound in Medicine and Biology,paywalled,False,closed,,,corpus/by-pmid/11369525.md
11404501,Phase II trial of toremifene in androgen-independent prostate cancer: a Penn cancer clinical trials group trial.,2001,American journal of clinical oncology,paywalled,False,closed,,,corpus/by-pmid/11404501.md
11424154,Electrochemical treatment of mouse Ehrlich tumor with direct electric current.,2001,Bioelectromagnetics,paywalled,False,closed,,,corpus/by-pmid/11424154.md
11454891,Cationic liposome-mediated E1A gene transfer to human breast and ovarian cancer cells and its biologic effects: a phase I clinical trial.,2001,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,paywalled,False,closed,,,corpus/by-pmid/11454891.md
11509143,[CT appearance and its diagnosis value in liver cancer after transcatheter oily chemoembolization combining with high intensity focused ultrasound therapy].,2001,Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,paywalled,False,unknown,,,corpus/by-pmid/11509143.md
1165831,[Recordings of spinal cord bioelectric currents in man].,1975,Neurologia i neurochirurgia polska,paywalled,False,unknown,,,corpus/by-pmid/1165831.md
11758195,[Electrochemical therapy and implanted ports treatment for unresectable carcinoma of body and tail of pancreas].,2001,Zhonghua wai ke za zhi [Chinese journal of surgery],paywalled,False,unknown,,,corpus/by-pmid/11758195.md
11832074,[CO2 laser-microscopy technique in treating tumors near the sella turcica].,2000,Zhonghua wai ke za zhi [Chinese journal of surgery],paywalled,False,unknown,,,corpus/by-pmid/11832074.md
11870157,INT 0123 (Radiation Therapy Oncology Group 94-05) phase III trial of combined-modality therapy for esophageal cancer: high-dose versus standard-dose radiation therapy.,2002,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,paywalled,False,closed,,,corpus/by-pmid/11870157.md
11896441,Clinical trial of E1B-deleted adenovirus (dl1520) gene therapy for hepatocellular carcinoma.,2002,Cancer gene therapy,paywalled,False,closed,,,corpus/by-pmid/11896441.md
1190385,[Characteristics of excretion of luteinizing hormone and bioelectric activity of the brain in patients with external endometriosis].,1975,Akusherstvo i ginekologiia,paywalled,False,unknown,,,corpus/by-pmid/1190385.md
11908930,Chemo-immunotherapy and chemo-adoptive immunotherapy of cancer.,2001,Cancer treatment reviews,paywalled,False,closed,,,corpus/by-pmid/11908930.md
11914100,Liver electrolysis: pH can reliably monitor the extent of hepatic ablation in pigs.,2002,"Clinical science (London, England : 1979)",paywalled,False,unknown,,,corpus/by-pmid/11914100.md
11972547,Electrolytic ablation as an adjunct to liver resection: experimental studies of predictability and safety.,2002,The British journal of surgery,paywalled,False,closed,,,corpus/by-pmid/11972547.md
1199616,[Measurements of electric membrane potentials in lymphocytes].,1975,Acta biologica et medica Germanica,paywalled,False,unknown,,,corpus/by-pmid/1199616.md
12023044,Enhancement of radiation response in human cervical cancer cells in vitro and in vivo by arsenic trioxide (As2O3).,2002,FEBS letters,open access,True,bronze,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/S0014-5793%2802%2902765-5,corpus/by-pmid/12023044.md
12065561,Oxaliplatin in combination with protracted-infusion fluorouracil and radiation: report of a clinical trial for patients with esophageal cancer.,2002,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,paywalled,False,closed,,,corpus/by-pmid/12065561.md
12074066,Electrolysis and other local ablative treatments for non-resectable colorectal liver metastases.,2002,ANZ journal of surgery,paywalled,False,closed,,,corpus/by-pmid/12074066.md
12096076,High-intensity focused ultrasound makes its debut.,2002,Journal of the National Cancer Institute,paywalled,False,closed,,,corpus/by-pmid/12096076.md
12153624,Use of electrolysis as an adjunct to liver resection.,2002,The British journal of surgery,open access,True,bronze,,https://academic.oup.com/bjs/article-pdf/89/8/999/36726720/bjs319.pdf,corpus/by-pmid/12153624.md
12168839,Targeted sonodynamic therapy of cancer using a photosensitizer conjugated with antibody against carcinoembryonic antigen.,2002,Anticancer research,paywalled,False,unknown,,,corpus/by-pmid/12168839.md
12190735,Electrolytic ablation as an adjunct to liver resection: Safety and efficacy in patients.,2002,ANZ journal of surgery,paywalled,False,closed,,,corpus/by-pmid/12190735.md
12376615,Clinical applications of radio-frequency tumor ablation in the thorax.,2002,"Radiographics : a review publication of the Radiological Society of North America, Inc",paywalled,False,closed,,,corpus/by-pmid/12376615.md
12399852,Palliation of pancreatic cancer using electrolytic ablation.,2003,Surgical endoscopy,paywalled,False,closed,,,corpus/by-pmid/12399852.md
12499088,Epidermal growth factor receptors and cyclooxygenase-2 in the pathogenesis of non-small cell lung cancer: potential targets for chemoprevention and systemic therapy.,2003,"Lung cancer (Amsterdam, Netherlands)",paywalled,False,closed,,,corpus/by-pmid/12499088.md
12501630,[Cell cycle analysis and pathological changes of malignant tumors treated with electrochemical therapy].,2000,Hua xi yi ke da xue xue bao = Journal of West China University of Medical Sciences = Huaxi yike daxue xuebao,paywalled,False,unknown,,,corpus/by-pmid/12501630.md
12552236,Experimental studies of serum cytokine concentration following pancreatic electrolytic ablation.,2003,Medical science monitor : international medical journal of experimental and clinical research,paywalled,False,unknown,,,corpus/by-pmid/12552236.md
12585827,Interferon therapy after tumor ablation improves prognosis in patients with hepatocellular carcinoma associated with hepatitis C virus.,2003,Annals of internal medicine,paywalled,False,closed,,,corpus/by-pmid/12585827.md
12639303,Phase I dose escalation clinical trial of adenovirus vector carrying osteocalcin promoter-driven herpes simplex virus thymidine kinase in localized and metastatic hormone-refractory prostate cancer.,2003,Human gene therapy,paywalled,False,closed,,,corpus/by-pmid/12639303.md
12659143,"The role of apoptosis in response to photodynamic therapy: what, where, why, and how.",2002,Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,paywalled,False,closed,,,corpus/by-pmid/12659143.md
12679000,[High intensity focused ultrasound for liver cancer].,2003,Zhonghua zhong liu za zhi [Chinese journal of oncology],paywalled,False,unknown,,,corpus/by-pmid/12679000.md
12689940,Synergy between tumor immunotherapy and antiangiogenic therapy.,2003,Blood,paywalled,False,closed,,,corpus/by-pmid/12689940.md
12756085,Alternative therapies for localized prostate cancer.,2003,Current urology reports,paywalled,False,closed,,,corpus/by-pmid/12756085.md
12800414,[Observation on effect of electro-acupuncture in treating maxillofacial hemangioma].,2003,Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine,paywalled,False,unknown,,,corpus/by-pmid/12800414.md
12855653,Effective therapy of metastatic ovarian cancer with an oncolytic herpes simplex virus incorporating two membrane fusion mechanisms.,2003,Clinical cancer research : an official journal of the American Association for Cancer Research,paywalled,False,unknown,,,corpus/by-pmid/12855653.md
12868251,"Effects of a pulsed electromagnetic therapy on multiple sclerosis fatigue and quality of life: a double-blind, placebo controlled trial.",2003,Alternative therapies in health and medicine,paywalled,False,unknown,,,corpus/by-pmid/12868251.md
12885806,"Trastuzumab and vinorelbine as first-line therapy for HER2-overexpressing metastatic breast cancer: multicenter phase II trial with clinical outcomes, analysis of serum tumor markers as predictive factors, and cardiac surveillance algorithm.",2003,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,paywalled,False,closed,,,corpus/by-pmid/12885806.md
12893895,Image-guided tumor ablation: proposal for standardization of terms and reporting criteria.,2003,Radiology,paywalled,False,closed,,,corpus/by-pmid/12893895.md
12945155,[Visual analysis of EEG in children with a cavum of the septum pellucidum].,2003,Przeglad lekarski,paywalled,False,unknown,,,corpus/by-pmid/12945155.md
12945156,[Quantitative analysis of bioelectric activity of both brain hemispheres in children with a cavum of the septum pellucidum].,2003,Przeglad lekarski,paywalled,False,unknown,,,corpus/by-pmid/12945156.md
1327281,[Dynamics of bioelectric activity of the brain and erythrocyte ultrastructure after intravenous infusion of sodium bicarbonate to oncologic patients].,1992,Biulleten' eksperimental'noi biologii i meditsiny,paywalled,False,unknown,,,corpus/by-pmid/1327281.md
1330866,Oxidative metabolism in cirrhotic patients with and without hepatocellular carcinoma: effects of malnutrition.,1992,"Hepatology (Baltimore, Md.)",paywalled,False,unknown,,,corpus/by-pmid/1330866.md
13393738,[Electroencephaloscopic studies on bio-electric map of the cerebral cortex in cerebral tumors and injuries].,1956,"Zhurnal nevropatologii i psikhiatrii imeni S.S. Korsakova (Moscow, Russia : 1952)",paywalled,False,unknown,,,corpus/by-pmid/13393738.md
13626158,[Bio-electric disorders in tumors of the occipital lobe].,1958,"Zhurnal nevropatologii i psikhiatrii imeni S.S. Korsakova (Moscow, Russia : 1952)",paywalled,False,unknown,,,corpus/by-pmid/13626158.md
13680280,A new neurophysiological/neuropathological ex vivo model localizes the origin of glioma-associated epileptogenesis in the invasion area.,2004,Acta neuropathologica,paywalled,False,closed,,,corpus/by-pmid/13680280.md
13823684,[Behavior of the bioelectric fields in a case of brain tumor].,1959,"Archiv fur Psychiatrie und Nervenkrankheiten, vereinigt mit Zeitschrift fur die gesamte Neurologie und Psychiatrie",paywalled,False,closed,,,corpus/by-pmid/13823684.md
13954229,[The bioelectric signs of cerebral mass displacement in brain tumors].,1962,Schweizerische medizinische Wochenschrift,paywalled,False,unknown,,,corpus/by-pmid/13954229.md
14183726,[CLINICAL CORRELATIONS OF THE BIOELECTRIC MATURATIONAL DEFECT (SELECTIVE FINDINGS ON 3500 TRACINGS)].,1963,Rivista di patologia nervosa e mentale,paywalled,False,unknown,,,corpus/by-pmid/14183726.md
1423282,In vivo effects of high-intensity ultrasound on prostatic adenocarcinoma Dunning R3327.,1992,Cancer research,paywalled,False,unknown,,,corpus/by-pmid/1423282.md
14339952,[RESULTS OF THE EXAMINATION OF BIOELECTRIC ACTIVITY OF THE BRAIN IN PATIENTS WITH ORGANIC BRAIN DAMAGE DURING ADMINISTRATION OF ETHYLNORANTIFEINE].,1964,"Zhurnal nevropatologii i psikhiatrii imeni S.S. Korsakova (Moscow, Russia : 1952)",paywalled,False,unknown,,,corpus/by-pmid/14339952.md
14379143,Bioelectric potentials in female genital cancer.,1955,Cancer,paywalled,False,closed,,,corpus/by-pmid/14379143.md
14507529,Sarcopenia in elderly men and women: the Rancho Bernardo study.,2003,American journal of preventive medicine,paywalled,False,closed,,,corpus/by-pmid/14507529.md
14618463,Evaluating body composition of Italian prostate cancer patients without metastases.,2003,Acta diabetologica,paywalled,False,closed,,,corpus/by-pmid/14618463.md
14680583,[Antitumor effects of electrothermal and electrochemical therapy on mice with sarcoma180].,2003,Zhonghua kou qiang yi xue za zhi = Zhonghua kouqiang yixue zazhi = Chinese journal of stomatology,paywalled,False,unknown,,,corpus/by-pmid/14680583.md
14693731,Body size and composition and prostate cancer risk.,2003,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",paywalled,False,unknown,,,corpus/by-pmid/14693731.md
14732357,The lack of a systemic inflammatory response syndrome supports the safety of pancreatic electrolysis: experimental studies.,2004,The Journal of surgical research,paywalled,False,closed,,,corpus/by-pmid/14732357.md
14786991,[Anatomic and bioelectric study of 10 meningiomas].,1950,Revue neurologique,paywalled,False,unknown,,,corpus/by-pmid/14786991.md
14810543,Bio-electric potentials in uterine carcinoma.,1950,Acta radiologica,paywalled,False,closed,,,corpus/by-pmid/14810543.md
14972475,High-intensity focused ultrasound for the treatment of localized prostate cancer: 5-year experience.,2004,Urology,paywalled,False,closed,,,corpus/by-pmid/14972475.md
15018081,[Therapeutic options and controversies in the management of prostate cancer].,2003,La Revue du praticien,paywalled,False,unknown,,,corpus/by-pmid/15018081.md
15051755,Abbreviated course of radiation therapy in older patients with glioblastoma multiforme: a prospective randomized clinical trial.,2004,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,open access,True,bronze,,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.2004.06.082?role=tab,corpus/by-pmid/15051755.md
15072597,Treatment efficiency of a suicide gene therapy using prostate-specific membrane antigen promoter/enhancer in a castrated mouse model of prostate cancer.,2004,Cancer science,open access,True,bronze,PMC11159212,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1349-7006.2004.tb03217.x,corpus/by-pmid/15072597.md
15091224,High-frequency pulsed electromagnetic energy in tinnitus treatment.,2004,The Laryngoscope,paywalled,False,closed,,,corpus/by-pmid/15091224.md
15126372,Disruption of cancer cell replication by alternating electric fields.,2004,Cancer research,open access,True,bronze,,https://aacrjournals.org/cancerres/article-pdf/64/9/3288/2529860/zch00904003288.pdf,corpus/by-pmid/15126372.md
15131034,A multicenter Phase I gene therapy clinical trial involving intraperitoneal administration of E1A-lipid complex in patients with recurrent epithelial ovarian cancer overexpressing HER-2/neu oncogene.,2004,Clinical cancer research : an official journal of the American Association for Cancer Research,paywalled,False,closed,,,corpus/by-pmid/15131034.md
15213104,Cancer chemoprevention by the antioxidant tempol in Atm-deficient mice.,2004,Human molecular genetics,open access,True,bronze,,https://academic.oup.com/hmg/article-pdf/13/16/1793/1960461/ddh189.pdf,corpus/by-pmid/15213104.md
15217148,[Minimally invasive techniques in localized renal tumours less than 40 mm in diameter in adults: technical aspects and results].,2004,Progres en urologie : journal de l'Association francaise d'urologie et de la Societe francaise d'urologie,paywalled,False,unknown,,,corpus/by-pmid/15217148.md
15259065,Analysis of clinical effect of high-intensity focused ultrasound on liver cancer.,2004,World journal of gastroenterology,open access,True,hybrid,PMC4724968,https://www.wjgnet.com/1007-9327/full/v10/i15/2201.htm,corpus/by-pmid/15259065.md
15292285,Clinical review 170: A systematic review and metaanalysis of the effectiveness of radioactive iodine remnant ablation for well-differentiated thyroid cancer.,2004,The Journal of clinical endocrinology and metabolism,open access,True,bronze,,https://academic.oup.com/jcem/article-pdf/89/8/3668/9144155/jcem3668.pdf,corpus/by-pmid/15292285.md
15302020,Sonodynamic therapy--a review of the synergistic effects of drugs and ultrasound.,2004,Ultrasonics sonochemistry,paywalled,False,closed,,,corpus/by-pmid/15302020.md
15357444,[Necrosed field model of high intensity focused ultrasound for tumor treatment].,2004,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi,paywalled,False,unknown,,,corpus/by-pmid/15357444.md
15452554,Principles and results of high-intensity focused ultrasound for localized prostate cancer.,2004,Prostate cancer and prostatic diseases,paywalled,False,closed,,,corpus/by-pmid/15452554.md
15614446,Experimental gene therapy in mammary and urinary bladder cancer using electrogene transfer.,2004,Medical electron microscopy : official journal of the Clinical Electron Microscopy Society of Japan,paywalled,False,closed,,,corpus/by-pmid/15614446.md
15714990,[High-intensity focused ultrasound for localized prostate cancer].,2005,Nihon rinsho. Japanese journal of clinical medicine,paywalled,False,unknown,,,corpus/by-pmid/15714990.md
15738535,"Significantly higher pathologic complete remission rate after neoadjuvant therapy with trastuzumab, paclitaxel, and epirubicin chemotherapy: results of a randomized trial in human epidermal growth factor receptor 2-positive operable breast cancer.",2005,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,open access,True,bronze,,https://ascopubs.org/doi/pdfdirect/10.1200/JCO.2005.07.032?role=tab,corpus/by-pmid/15738535.md
15749590,Postoperative changes in body composition after gastrectomy.,2005,Journal of gastrointestinal surgery : official journal of the Society for Surgery of the Alimentary Tract,paywalled,False,closed,,,corpus/by-pmid/15749590.md
15771276,Tissue ablation with irreversible electroporation.,2005,Annals of biomedical engineering,paywalled,False,closed,,,corpus/by-pmid/15771276.md
15776004,High-intensity focused ultrasound in the treatment of solid tumours.,2005,Nature reviews. Cancer,paywalled,False,closed,,,corpus/by-pmid/15776004.md
15786766,[Localized prostate cancer treatment in renal transplant patient with high intensity focalized ultrasound (HIFU)].,2005,Actas urologicas espanolas,paywalled,False,closed,,,corpus/by-pmid/15786766.md
15845798,Image-guided tumor ablation: standardization of terminology and reporting criteria.,2005,Radiology,open access,True,green,PMC3406173,http://nrs.harvard.edu/urn-3:HUL.InstRepos:33884318,corpus/by-pmid/15845798.md
15887257,Optimization of pulsed electromagnetic field therapy for management of arthritis in rats.,2005,Bioelectromagnetics,paywalled,False,closed,,,corpus/by-pmid/15887257.md
15920329,Endoscopic perductal electrolytic ablation of the pancreas: experimental studies of morbidity and mortality.,2005,"Digestive diseases (Basel, Switzerland)",open access,True,bronze,,https://www.karger.com/Article/Pdf/84730,corpus/by-pmid/15920329.md
15947040,Image-guided tumor ablation: standardization of terminology and reporting criteria.,2005,Journal of vascular and interventional radiology : JVIR,open access,True,bronze,,http://www.jvir.org/article/S1051044307606812/pdf,corpus/by-pmid/15947040.md
15963152,High-intensity focused ultrasound (HIFU) for treating prostate cancer.,2005,BJU international,paywalled,False,closed,,,corpus/by-pmid/15963152.md
16008113,[Congress of the Association Française d'Urologie (AFU) 2004: prostate cancer management].,2005,Annales d'urologie,paywalled,False,closed,,,corpus/by-pmid/16008113.md
16011815,Technical review: High-intensity focused ultrasound for prostate cancer.,2005,The Canadian journal of urology,paywalled,False,unknown,,,corpus/by-pmid/16011815.md
1604262,Low energy high frequency pulsed electromagnetic therapy for acute whiplash injuries. A double blind randomized controlled study.,1992,Scandinavian journal of rehabilitation medicine,paywalled,False,unknown,,,corpus/by-pmid/1604262.md
16093852,Renal tumor ablation.,2005,Current opinion in urology,paywalled,False,closed,,,corpus/by-pmid/16093852.md
16107241,Thermal-based treatment options for localized prostate cancer.,2005,Current treatment options in oncology,paywalled,False,closed,,,corpus/by-pmid/16107241.md
16133484,Effects of ionic and non-ionic paramagnetic contrast media on brain bio-electric activity.,2005,Neuroradiology,paywalled,False,closed,,,corpus/by-pmid/16133484.md
16211395,p53 Status does not affect photodynamic cell killing induced by hypericin.,2006,Cancer chemotherapy and pharmacology,paywalled,False,closed,,,corpus/by-pmid/16211395.md
1627421,"Randomized clinical trial to assess the value of breast-conserving therapy in stage I and II breast cancer, EORTC 10801 trial.",1992,Journal of the National Cancer Institute. Monographs,paywalled,False,unknown,,,corpus/by-pmid/1627421.md
16280430,"Body fat distribution, body composition, and respiratory function in elderly men.",2005,The American journal of clinical nutrition,paywalled,False,closed,,,corpus/by-pmid/16280430.md
16285617,Transrectal high-intensity focused ultrasound in the treatment of localized prostate cancer: a multicenter study.,2005,Hinyokika kiyo. Acta urologica Japonica,paywalled,False,unknown,,,corpus/by-pmid/16285617.md
16286025,Elastography for the follow-up of high-intensity focused ultrasound prostate cancer treatment: initial comparison with MRI.,2005,Ultrasound in medicine & biology,paywalled,False,closed,,,corpus/by-pmid/16286025.md
16292891,Cancer cells ablation with irreversible electroporation.,2005,Technology in cancer research & treatment,paywalled,False,closed,,,corpus/by-pmid/16292891.md
16425987,Prostate cancer therapy with high-intensity focused ultrasound.,2005,Clinical genitourinary cancer,paywalled,False,closed,,,corpus/by-pmid/16425987.md
16474762,Technology insight: High-intensity focused ultrasound for urologic cancers.,2005,Nature clinical practice. Urology,paywalled,False,closed,,,corpus/by-pmid/16474762.md
16536790,Treatment of localised prostate cancer using high-intensity focused ultrasound.,2006,BJU international,paywalled,False,closed,,,corpus/by-pmid/16536790.md
16537182,"Ponicidin, an ent-kaurane diterpenoid derived from a constituent of the herbal supplement PC-SPES, Rabdosia rubescens, induces apoptosis by activation of caspase-3 and mitochondrial events in lung cancer cells in vitro.",2006,Cancer investigation,paywalled,False,closed,,,corpus/by-pmid/16537182.md
16556078,Potential role of pulsed-high intensity focused ultrasound in gene therapy.,2006,"Future oncology (London, England)",paywalled,False,closed,,,corpus/by-pmid/16556078.md
1657377,"Cell membrane signaling as target in cancer therapy. II: Inhibitory effect of N,N,N-trimethylsphingosine on metastatic potential of murine B16 melanoma cell line through blocking of tumor cell-dependent platelet aggregation.",1991,Cancer research,paywalled,False,unknown,,,corpus/by-pmid/1657377.md
16613519,DH-I-180-3-mediated photodynamic therapy: biodistribution and tumor vascular damage.,2006,Photochemistry and photobiology,open access,True,green,,https://ir.ymlib.yonsei.ac.kr/handle/22282913/108751,corpus/by-pmid/16613519.md
16800996,Effect of electro-acupuncture in treating patients with lingual hemangioma.,2006,Chinese journal of integrative medicine,paywalled,False,closed,,,corpus/by-pmid/16800996.md
16813071,Transrectal ultrasound-guided 10-core biopsy of the prostate for Japanese patients.,2006,Hiroshima journal of medical sciences,paywalled,False,unknown,,,corpus/by-pmid/16813071.md
16831068,High-intensity focused ultrasound: a potential salvage treatment for recurrent prostate cancer following radiotherapy.,2006,Expert review of anticancer therapy,open access,True,bronze,,https://www.tandfonline.com/doi/pdf/10.1586/14737140.6.7.969?needAccess=true,corpus/by-pmid/16831068.md
16831175,Treatment of localized prostate cancer using high-intensity focused ultrasound.,2006,BJU international,paywalled,False,closed,,,corpus/by-pmid/16831175.md
16847468,High-intensity focused ultrasound therapy for clinically localized prostate cancer.,2006,Prostate cancer and prostatic diseases,paywalled,False,closed,,,corpus/by-pmid/16847468.md
16850340,Morbidity associated with repeated transrectal high-intensity focused ultrasound treatment of localized prostate cancer.,2006,World journal of urology,paywalled,False,closed,,,corpus/by-pmid/16850340.md
16857310,Control of prostate cancer by transrectal HIFU in 227 patients.,2007,European urology,paywalled,False,closed,,,corpus/by-pmid/16857310.md
16860626,Heat fixation of cancer cells ablated with high-intensity-focused ultrasound in patients with breast cancer.,2006,American journal of surgery,paywalled,False,closed,,,corpus/by-pmid/16860626.md
16865057,Photodynamic effects of pyropheophorbide-a methyl ester in nasopharyngeal carcinoma cells.,2006,Medical science monitor : international medical journal of experimental and clinical research,paywalled,False,unknown,,,corpus/by-pmid/16865057.md
16880732,"Pheophorbide a, an active compound isolated from Scutellaria barbata, possesses photodynamic activities by inducing apoptosis in human hepatocellular carcinoma.",2006,Cancer biology & therapy,open access,True,bronze,,https://www.tandfonline.com/doi/pdf/10.4161/cbt.5.9.2950?needAccess=true,corpus/by-pmid/16880732.md
16898095,[Evaluation of ultrasonography effectiveness in prostate cancer detection].,2005,Vestnik rentgenologii i radiologii,paywalled,False,unknown,,,corpus/by-pmid/16898095.md
16985057,Potential use of alexidine dihydrochloride as an apoptosis-promoting anticancer agent.,2006,Molecular cancer therapeutics,open access,True,bronze,,https://aacrjournals.org/mct/article-pdf/5/9/2234/1873837/2234.pdf,corpus/by-pmid/16985057.md
17000693,Benzethonium chloride: a novel anticancer agent identified by using a cell-based small-molecule screen.,2006,Clinical cancer research : an official journal of the American Association for Cancer Research,open access,True,bronze,,https://aacrjournals.org/clincancerres/article-pdf/12/18/5557/1965656/5557.pdf,corpus/by-pmid/17000693.md
17013677,Fluorescence imaging of heat-stress induced mitochondrial long-term depolarization in breast cancer cells.,2006,Journal of fluorescence,paywalled,False,closed,,,corpus/by-pmid/17013677.md
17034499,High-intensity focused ultrasound for treating prostate cancer.,2007,BJU international,paywalled,False,closed,,,corpus/by-pmid/17034499.md
17079217,A new local ablation for solid malignant tumours: anti-tumour effect of hyperthermal and electrochemical therapy on transplantable mouse cancer.,2006,"International journal of hyperthermia : the official journal of European Society for Hyperthermic Oncology, North American Hyperthermia Group",paywalled,False,closed,,,corpus/by-pmid/17079217.md
17121439,"High intensity focused ultrasound for prostate cancer: a review of the scientific foundation, technology and clinical outcomes.",2006,Technology in cancer research & treatment,paywalled,False,closed,,,corpus/by-pmid/17121439.md
17168364,[Investigation of antitumor action of acoustic resonance induced by theta-rhythm modulation].,2006,Voprosy onkologii,paywalled,False,unknown,,,corpus/by-pmid/17168364.md
